cid	sid	ch	det	id	a0	a1	a2	beta	radian
0	2	0	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	2	1	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	2	2	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	2	3	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	2	4	0	1	6.356847483E+00	3.630171180E-01	7.531050000E-06	0	2.68519
0	2	5	0	2	1.261591480E-01	3.548714270E-01	-8.671950000E-09	0.02555034	2.68519
0	2	6	0	3	1.237829340E-01	3.752322630E-01	-2.375820000E-08	0.02555034	2.68519
0	2	7	0	4	7.970842800E-02	3.562175590E-01	-2.304980000E-08	0.02446962	2.68519
0	2	8	0	5	3.754496900E-02	3.655441940E-01	-1.459150000E-08	0.02648638	2.23926
0	2	9	0	6	-1.472068880E-01	3.676822440E-01	-6.001680000E-08	0.02416327	2.23926
0	2	10	0	7	-7.365230000E-02	4.153170000E-01	-1.429480000E-09	0	2.23926
0	2	11	0	8	-2.255920810E-01	3.282674530E-01	-2.878030000E-08	0.02571201	2.23926
0	2	12	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	2	13	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	2	14	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	2	15	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	0	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	1	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	2	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	3	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	4	0	9	1.210628890E-01	3.588738550E-01	-3.955860000E-08	0.02674894	0.902335
0	3	5	0	10	1.124987340E-01	3.996763290E-01	-1.923550000E-08	0.02422891	0.902335
0	3	6	0	11	-1.918938800E-02	3.865363140E-01	-1.959320000E-08	0.02506892	0.902335
0	3	7	0	12	1.827259370E-01	4.053982180E-01	-8.793670000E-08	0.02506892	0.902335
0	3	8	0	13	-5.610690200E-02	3.559049550E-01	1.120000000E-08	0.0233889	0.456404
0	3	9	0	14	-3.376632280E-01	3.559618400E-01	-6.013710000E-08	0.02567896	0.456404
0	3	10	0	15	5.727311000E-02	3.884801700E-01	0.000000000E+00	0.023961415	0.456404
0	3	11	0	16	-1.164141010E-01	3.907714970E-01	-4.579400000E-09	0.02567896	0.456404
0	3	12	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	13	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	14	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	3	15	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	0	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	1	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	2	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	3	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	4	0	17	-1.563047600E-02	2.021090530E-01	0.000000000E+00	0	1.570796327
0	4	5	0	18	-1.385252510E-01	2.041878590E-01	-4.015050000E-08	0	1.570796327
0	4	6	0	19	8.217329290E-01	2.916174640E-01	5.217201640E-08	0	1.570796327
0	4	7	0	20	1.321878360E-01	2.012697930E-01	0.000000000E+00	0	1.570796327
0	4	8	0	21	3.895061400E-02	1.892578940E-01	-3.154200000E-08	0.027741455	1.4314619
0	4	9	0	22	-2.515559740E-01	2.143652790E-01	5.496732370E-08	0.027741455	1.4314619
0	4	10	0	23	-6.842729500E-02	2.167507420E-01	-2.525080000E-08	0.0284073	1.7101308
0	4	11	0	24	-1.800495790E-01	1.904161960E-01	-6.802770000E-08	0.027741455	1.7101308
0	4	12	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	13	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	14	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	4	15	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	0	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	1	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	2	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	3	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	4	0	25	-1.432367600E-01	1.837794660E-01	-2.114120000E-08	0.0233889	1.490196
0	5	5	0	26	-2.382744000E-01	1.847744250E-01	-1.781970000E-08	0.0233889	1.490196
0	5	6	0	27	6.228862300E-02	1.828136240E-01	0.000000000E+00	0.0233889	1.4904564
0	5	7	0	28	6.336724900E-01	1.890665040E-01	2.493725660E-08	0.0233889	1.4904564
0	5	8	0	29	1.173997520E-01	1.834408690E-01	0.000000000E+00	0.02748868	1.4250752
0	5	9	0	30	3.331293100E-02	1.850675230E-01	-9.872190000E-09	0.02748868	1.4250752
0	5	10	0	31	4.671671400E-02	1.754813500E-01	-3.563800000E-09	0.0233889	1.7165175
0	5	11	0	32	1.043215360E+00	1.829730230E-01	2.059603420E-08	0.0233889	1.7165175
0	5	12	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	13	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	14	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	5	15	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	0	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	1	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	2	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	3	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	4	0	33	-5.531542300E-02	1.917135300E-01	-2.746400000E-08	0.0233889	1.4528552
0	6	5	0	34	-1.939133100E-02	1.895988900E-01	-1.657160000E-08	0.0233889	1.4528552
0	6	6	0	35	1.958758970E-01	1.869894630E-01	0.000000000E+00	0.0233889	1.6887375
0	6	7	0	36	1.518708850E-01	1.951282020E-01	0.000000000E+00	0.026833625	1.6887375
0	6	8	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	9	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	10	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	11	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	12	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	13	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	14	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	6	15	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	7	0	0	37	2.783534690E+00	3.234968200E-02	1.697350000E-08	0	0
0	7	1	0	38	3.881231490E+00	3.321476500E-02	4.362580000E-09	0	0
0	7	2	0	39	6.112520690E-01	3.279960500E-02	3.301760000E-09	0	0
0	7	3	0	40	2.019000500E+00	2.892174800E-02	9.096670000E-09	0	0
0	7	4	0	41	3.062485910E+00	3.096321500E-02	2.237000000E-08	0	0
0	7	5	0	42	3.250396690E+00	3.208689000E-02	1.517750000E-08	0	0
0	7	6	0	43	1.995051600E-02	3.063657800E-02	1.937270000E-08	0	0
0	7	7	0	44	3.100666520E+00	3.186773300E-02	2.611520000E-08	0	0
0	7	8	0	45	6.130578720E+00	3.265634200E-02	2.414290000E-08	0	0
0	7	9	0	46	4.156953560E+00	3.120924200E-02	1.071100000E-08	0	0
0	7	10	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	7	11	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	7	12	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	7	13	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	7	14	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
0	7	15	-1	-1	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	0	93	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	1	97	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	2	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	3	98	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	4	92	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	5	24	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	6	99	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	7	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	8	8	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	9	7	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	10	6	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	11	5	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	12	4	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	13	3	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	14	2	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	2	15	1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	0	9	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
