cid	sid	ch	tsoffset
0	2	4	0
0	2	5	1
0	2	6	0
0	2	7	1
0	2	8	1
0	2	9	1
0	2	11	1
0	3	4	0
0	3	5	1
0	3	6	1
0	3	7	0
0	3	8	0
0	3	9	1
0	3	10	1
0	3	11	0
0	4	4	1
0	4	5	0
0	4	6	1
0	4	7	1
0	4	8	1
0	4	9	1
0	4	10	1
0	4	11	1
0	5	4	0
0	5	5	2
0	5	6	0
0	5	7	1
0	5	8	1
0	5	9	1
0	5	10	0
0	5	11	0
0	6	4	0
0	6	5	1
0	6	6	0
0	6	7	1
0	7	0	1
0	7	1	0
0	7	2	0
0	7	3	1
0	7	4	1
0	7	5	0
0	7	6	0
0	7	7	1
0	7	8	0
0	7	9	1
1	2	0	-120
1	2	1	-120
1	2	3	-120
1	2	4	-121
1	2	5	-120
1	2	6	-120
1	2	8	-120
1	2	9	-120
1	2	10	-120
1	2	11	-120
1	2	12	-120
1	2	13	-120
1	2	14	-121
1	2	15	-120
1	3	0	-120
1	3	1	-119
1	3	2	-121
1	3	3	-120
1	3	4	-120
1	3	5	-120
1	3	6	-121
1	3	7	-120
1	3	8	-119
1	3	9	-119
1	3	10	-121
1	3	13	-121
1	3	14	-121
1	3	15	-120
1	4	0	-119
1	4	1	-121
1	4	2	-119
1	4	3	-120
1	4	4	-120
1	4	5	-119
1	4	6	-120
1	4	7	-119
1	4	8	-119
1	4	9	-120
1	4	10	-120
1	4	11	-120
1	4	12	-120
1	4	13	-119
1	4	14	-120
1	5	0	-120
1	5	1	-120
1	5	2	-120
1	5	3	-120
1	5	4	-120
1	5	5	-120
1	5	6	-120
1	5	7	-120
1	5	8	-120
1	5	10	-120
1	5	11	-120
1	5	12	-120
1	5	13	-121
1	5	14	-120
1	5	15	-120
1	6	0	-120
1	6	1	-120
1	6	2	-120
1	6	3	-119
1	6	4	-119
1	6	5	-119
1	6	6	-120
1	6	7	-119
1	6	8	-120
1	6	9	-120
1	6	10	-120
1	6	11	-119
1	6	12	-120
1	6	13	-119
1	7	0	-120
1	7	1	-120
1	7	2	-120
1	7	3	-120
1	7	4	-120
1	7	5	-120
1	7	6	-120
1	7	7	-120
1	7	8	-120
1	7	9	-120
1	7	10	-120
1	7	11	-120
1	7	12	-120
1	7	13	-120
1	8	0	-120
1	8	1	-120
1	8	2	-120
1	8	3	-120
1	8	4	-120
1	8	5	-120
1	8	6	-120
1	8	7	-120
1	8	8	-120
1	8	9	-120
1	8	14	-121
1	9	0	-151
1	9	1	-151
1	9	2	-151
1	9	3	-151
1	9	4	-151
1	9	5	-151
1	9	6	-151
1	9	7	-152
1	9	8	-151
1	9	9	-151
1	9	10	-151
1	9	11	-152
1	9	12	-150
1	9	13	-150
1	9	14	-151
1	9	15	-150
1	10	8	-150
1	10	9	-152
1	10	10	-151
1	10	11	-151
1	10	12	-150
1	10	13	-151
1	10	14	-151
1	10	15	-150
